sample	caller
BS_BSM3ZHW4	gatk
BS_BTRGQHM4	gatk
BS_BVAVPKKN	gatk
BS_BVD7PWP5	gatk
BS_BWZTMWTM	gatk
BS_BX8AR74E	gatk
BS_BYJDRXMK	gatk
BS_BZ4GKDP4	gatk
BS_BZWM455T	gatk
BS_C0YDDQKB	gatk
BS_C19DFVR5	gatk
BS_C1RRDNF5	gatk
BS_C2FYP4KW	gatk
BS_C2NH5FDT	gatk
BS_C3KDA5ZC	gatk
BS_C3KT9THS	cnvkit
BS_C3KT9THS	freec
BS_C3KT9THS	gatk
BS_C3X4AEK5	gatk
BS_C5RDMCCS	gatk
BS_C6GBYR17	gatk
BS_C6NB914B	gatk
BS_C8T56CWR	freec
BS_C8T56CWR	gatk
BS_C9TNGEA0	gatk
BS_C9YD10Y4	gatk
BS_CBMAWSAR	gatk
BS_CD6KRB1K	gatk
BS_CD7AXQM8	gatk
BS_CDKC1E2B	gatk
BS_CFEWVDG1	gatk
BS_CFPWSZB5	gatk
BS_CG9KDK95	gatk
BS_CGCNC41M	cnvkit
BS_CGCNC41M	gatk
BS_CGGJZ5Q1	cnvkit
BS_CGGJZ5Q1	freec
BS_CGGJZ5Q1	gatk
BS_CGXTFM67	gatk
BS_CH0ZV29W	cnvkit
BS_CH0ZV29W	gatk
BS_CHAFNK64	gatk
BS_CK7CPM73	gatk
BS_CKVK1AYV	freec
BS_CKVK1AYV	gatk
BS_CKY2TTXG	gatk
BS_CN7PB0DN	gatk
BS_CP435MAC	gatk
BS_CP8741SX	gatk
BS_CPGZYTHM	freec
BS_CPGZYTHM	gatk
BS_CPYV7AHD	freec
BS_CPYV7AHD	gatk
BS_CPZZR2R7	gatk
BS_CQ40NN4X	gatk
BS_CQ8C6X4X	gatk
BS_CQC29CK5	cnvkit
BS_CQC29CK5	gatk
BS_CRKBDAYZ	gatk
BS_CSY11X7E	gatk
BS_CWPHVM94	gatk
BS_CWQ35N2K	gatk
BS_CXCKHP3Z	freec
BS_CXCKHP3Z	gatk
BS_CXDKK6KS	gatk
BS_CXN0498B	gatk
BS_CZRA594T	gatk
BS_D09VWF8H	cnvkit
BS_D09VWF8H	gatk
BS_D2BZ25FW	gatk
BS_D368BNRD	gatk
BS_D3KVGMRJ	gatk
BS_D3N3FG7Y	gatk
BS_D3XVXF05	gatk
BS_D3ZV6MMY	gatk
BS_D59VEERR	gatk
BS_D6STCMQS	cnvkit
BS_D6STCMQS	gatk
BS_D6XHKZDZ	gatk
BS_D7442ACV	gatk
BS_D8H43Q28	freec
BS_D8H43Q28	gatk
BS_D9BP1QN2	gatk
BS_DAEM3WRX	gatk
BS_DAX3YVG0	freec
BS_DAX3YVG0	gatk
BS_DC7XYYG8	gatk
BS_DE26D072	gatk
BS_DFJYRYV1	gatk
BS_DGG7YE8R	gatk
BS_DGV11G69	gatk
BS_DH86PF5A	gatk
BS_DHC9SHF6	gatk
BS_DJEVCH34	gatk
BS_DMBNB0EP	cnvkit
BS_DMBNB0EP	gatk
BS_DRVEFVQ5	gatk
BS_DT92H1MJ	gatk
BS_DVDT4VXQ	cnvkit
BS_DVDT4VXQ	gatk
BS_DVQYQSVW	gatk
BS_DW1CYEXP	gatk
BS_DWYR5CTE	gatk
BS_DZ998H9P	gatk
BS_E0AAK0V0	gatk
BS_E0S2Y0TS	gatk
BS_E1VJCEWB	gatk
BS_E2EXBFN7	gatk
BS_E2RXQ3JW	gatk
BS_E42SSQGJ	gatk
BS_E4N511ZX	cnvkit
BS_E4N511ZX	freec
BS_E4N511ZX	gatk
BS_E4V8XN3G	gatk
BS_E5B2YZJH	gatk
BS_E5H6CFYT	freec
BS_E5H6CFYT	gatk
BS_E7CRT00M	gatk
BS_E7HEQZ1K	gatk
BS_E8MC6R2K	gatk
BS_E8SJ36A6	cnvkit
BS_E8SJ36A6	gatk
BS_E9ATGWME	gatk
BS_E9M7TDB6	gatk
BS_E9YW2KHS	freec
BS_E9YW2KHS	gatk
BS_EDCQ4M0R	gatk
BS_EDGSP4V6	cnvkit
BS_EDGSP4V6	freec
BS_EDGSP4V6	gatk
BS_EDZCAHR2	gatk
BS_EE2YW499	freec
BS_EE2YW499	gatk
BS_EE73VE7V	cnvkit
BS_EE73VE7V	gatk
BS_EFBBP9H3	cnvkit
BS_EFBBP9H3	gatk
BS_EHBH0NYX	gatk
BS_EJ1H9PZY	gatk
BS_EJV0N3BX	gatk
BS_EKR4NSNW	gatk
BS_EP25TTAG	gatk
BS_EPM623G4	gatk
BS_EQE19CB0	gatk
BS_EQE447QB	gatk
BS_ERAWW3H7	cnvkit
BS_ERAWW3H7	gatk
BS_ERFMPQN3	gatk
BS_ERMGD2N5	cnvkit
BS_ERMGD2N5	freec
BS_ERMGD2N5	gatk
BS_ETTZM63Y	gatk
BS_EWNSDJ7V	gatk
BS_EXDY4JFF	gatk
BS_EXTEGB51	gatk
BS_F064HMTP	gatk
BS_F0GNWEJJ	gatk
BS_F1B71HTZ	gatk
BS_F3ZZ4BXE	gatk
BS_F48RA7QF	gatk
BS_F4D169Q7	gatk
BS_F5641KTR	gatk
BS_F5KRHGKC	cnvkit
BS_F5KRHGKC	gatk
BS_F5V8CWXT	gatk
BS_F6MNG2S0	freec
BS_F6MNG2S0	gatk
BS_F7KYPE79	gatk
BS_F8K4VQMF	gatk
BS_F8KR1QWE	gatk
BS_F92J3KBA	gatk
BS_F969DNHD	gatk
BS_F9ZTZ4YS	gatk
BS_FAEHNS3Q	gatk
BS_FBJ516WW	gatk
BS_FBP5NZNR	gatk
BS_FCXEAPJ1	gatk
BS_FF73TT6D	freec
BS_FF73TT6D	gatk
BS_FFD25TTK	gatk
BS_FG649AWK	cnvkit
BS_FG649AWK	gatk
BS_FHE6Z73G	gatk
BS_FHFVCQ41	gatk
BS_FJEBFQHG	gatk
BS_FJEZ3ASV	freec
BS_FJEZ3ASV	gatk
BS_FJP95JXF	gatk
BS_FK3B5SDH	gatk
BS_FK3DPAWA	gatk
BS_FKQ7F6D1	gatk
BS_FNF1TCSW	gatk
BS_FNM4BB83	gatk
